yuktype	L1	L2	L3	L4	L5	m12sq	tbeta
1	2.050387009899220e+00	2.600292584266527e-01	1.410625638457864e-01	1.315755156345081e+00	-1.259399763962842e+00	2.069973823645106e+03	5.161363809758157e+00
1	4.022594978736657e+00	2.556006004319668e-01	2.252737450237206e+00	-9.976353800715303e-01	-9.633890297179054e-01	8.542200000000000e+02	8.736370000000001e+00
1	3.373975880303385e+00	2.464139348952858e-01	3.578484961887305e+00	-1.656907089824913e+00	-1.512648965196715e+00	3.179600000000000e+02	7.318060000000000e+00
1	5.374634590302130e+00	2.580533309242511e-01	2.036748798337561e+00	-7.409576094172240e-01	-1.067504434190837e+00	1.017030000000000e+03	9.566970000000000e+00
1	2.204396020521220e+00	2.500808922632097e-01	2.794370922347269e+00	-1.114218887174832e+00	-1.376222302866551e+00	3.540150000000000e+02	5.407920000000000e+00
1	2.168987857191180e+00	2.554145178888790e-01	1.421972327353078e+00	-4.324018913110415e-01	-7.876168926991044e-01	1.102390000000000e+03	4.124190000000000e+00
1	1.681496377884104e+00	2.488588678793444e-01	2.982413027008101e+00	-1.165938761294518e+00	-1.465270029719398e+00	5.003310000000000e+02	5.961060000000000e+00
1	2.000331909510678e+00	2.496004460890583e-01	3.038832790287091e+00	-1.215321195909572e+00	-1.471658883793768e+00	3.714780000000000e+02	6.289070000000000e+00
1	2.394757964922585e+00	2.462491584699376e-01	3.431842693159572e+00	-1.493933418731305e+00	-1.531473622214681e+00	4.341020000000000e+02	6.907630000000000e+00
1	1.671861689707621e+00	2.473888422188320e-01	2.941914371901138e+00	-1.349937997758049e+00	-1.242757615346786e+00	5.576330000000000e+02	5.624010000000000e+00
1	1.936961176889971e+00	2.442907438428037e-01	2.926564940507867e+00	-1.319545575389764e+00	-1.225495590162717e+00	4.417000000000000e+02	5.848720000000000e+00
1	4.060017413017812e+00	2.571451493753174e-01	2.904714727037983e+00	-1.254817420191861e+00	-1.365425026940488e+00	9.834120000000000e+02	1.245840000000000e+01
