sample_id	machine	category	branch	validation_stratum	edge_score	strict_snr	source	file	line	mH	mA	mHc	m12sq	sba	tb
156	qiushi	both	light	physical_boundary	0.03611666666666622	4.362814989904762e-09	typeI_mH62-125/random_20260820_084408.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both.csv	11134	7.325780000000000e+01	3.000450000000000e+02	3.022120000000000e+02	3.021200000000000e+02	1.584470000000000e-01	6.327580000000000e+00
157	yuanyuan	both	light	physical_boundary	0.04210000000000017	1.725213264452738e-07	typeI_mH62-125/random_20260813_231224.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both.csv	883	7.298820000000001e+01	3.139710000000000e+02	3.114450000000000e+02	4.303220000000000e+02	1.471650000000000e-01	6.842600000000000e+00
158	yuanyuan	both	light	physical_boundary	0.4630666666666663	2.39163893986861e-11	typeI_mH62-125/random_20260819_104213.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_1.csv	1023	1.005770000000000e+02	3.012200000000000e+02	2.841230000000000e+02	1.063390000000000e+03	7.006750000000000e-02	8.413930000000001e+00
159	yuanyuan	both	light	physical_boundary	0.25204999999999983	1.798028877288666e-07	typeI_mH62-125/random_20260819_104213.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_1.csv	1256	6.932599999999999e+01	3.266950000000000e+02	3.115720000000000e+02	4.563270000000000e+02	1.733650000000000e-01	6.090060000000000e+00
160	yuanyuan	both	light	physical_boundary	0.1252333333333335	4.057891022905949e-08	typeI_mH62-125/random_20260819_104213.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_1.csv	2195	7.408060000000000e+01	2.845370000000000e+02	2.920510000000000e+02	5.983720000000000e+02	1.582990000000000e-01	4.531880000000000e+00
161	yuanyuan	both	light	physical_boundary	0.06828266666666638	7.45366807495847e-10	typeI_mH62-125/random_20260831_090924.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_2.csv	4704	9.675350000000000e+01	2.835910000000000e+02	2.861070000000000e+02	1.515420000000000e+03	7.746970000000000e-02	3.933010000000000e+00
162	yuanyuan	both	light	physical_boundary	0.6306539682539674	9.709682379927764e-07	typeI_mH62-125/random_20260816_190714.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both.csv	6309	6.490860000000001e+01	2.843480000000000e+02	2.816550000000000e+02	4.987840000000000e+02	1.233620000000000e-01	5.433190000000000e+00
163	yuanyuan	both	light	physical_boundary	0.14653333333333382	7.362985426871825e-12	typeI_mH62-125/random_20260901_123420.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_2.csv	7047	1.016300000000000e+02	2.601090000000000e+02	2.689010000000000e+02	6.398120000000000e+02	1.281460000000000e-01	4.310080000000000e+00
164	yuanyuan	both	light	physical_boundary	0.5102222222222224	1.27389333467094e-16	typeI_mH62-125/random_20260816_190714.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both.csv	7690	1.211430000000000e+02	3.134620000000000e+02	3.067490000000000e+02	1.004850000000000e+03	1.371330000000000e-01	1.321430000000000e+01
165	yuanyuan	both	light	physical_boundary	0.11565000000000035	2.429890830141895e-14	typeI_mH62-125/random_20260817_165140.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both.csv	7716	1.130450000000000e+02	3.120860000000000e+02	3.051470000000000e+02	9.427660000000000e+02	1.510350000000000e-01	1.190100000000000e+01
166	yuanyuan	both	light	physical_boundary	0.18880000000000052	1.25167696029068e-07	typeI_mH62-125/random_20260817_233645.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both.csv	9068	7.366630000000001e+01	3.137880000000000e+02	3.024600000000000e+02	4.709200000000000e+02	1.341180000000000e-01	6.432870000000000e+00
167	yuanyuan	both	light	physical_boundary	0.05092063492063448	7.112126151808595e-16	typeI_mH62-125/random_20260817_233645.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both.csv	9256	1.175260000000000e+02	3.032050000000000e+02	3.044180000000000e+02	1.001260000000000e+03	1.614370000000000e-01	1.234920000000000e+01
168	yuanyuan	both	light	physical_boundary	0.1017833333333338	8.294784281498706e-11	typeI_mH62-125/random_20260818_171759.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both.csv	10865	9.930280000000000e+01	2.955430000000000e+02	2.894360000000000e+02	1.140160000000000e+03	7.880379999999999e-02	6.113570000000000e+00
169	office	thdmtool_only	heavy	strict_negative	0.8396558534244052	0.0	async_mcmc_20260903_115445.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/thdmtool_only_4.csv	784	1.404998058989902e+02	4.437869785339011e+02	4.343922051266384e+02	1.782910382161213e+03	9.988196128351025e-01	1.051700490652313e+01
170	office	thdmtool_only	heavy	strict_negative	0.13622725013042328	0.0	async_mcmc_20260903_115445.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/thdmtool_only_4.csv	4570	1.709052053723948e+02	4.522944471556626e+02	4.441208121478372e+02	2.771729498526678e+03	9.970022585917397e-01	1.015776936776978e+01
171	office	thdmtool_only	heavy	strict_negative	0.39404433509547077	0.0	async_mcmc_20260903_115445.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/thdmtool_only_4.csv	4780	1.534041717923998e+02	4.370342713759793e+02	4.269316527631221e+02	2.448686786685661e+03	9.961214740837390e-01	9.020179760531374e+00
172	office	thdmtool_only	heavy	strict_negative	0.678465907790575	0.0	async_mcmc_20260903_212216.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/thdmtool_only_4.csv	5565	1.400719105723168e+02	4.396286442916816e+02	4.356256857352267e+02	1.847972521318154e+03	9.961028338012690e-01	9.584458215641549e+00
173	office	thdmtool_only	heavy	strict_negative	0.5143868579788994	0.0	async_mcmc_20260903_212216.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/thdmtool_only_4.csv	7339	1.502832414326473e+02	4.350172730044948e+02	4.237438551462114e+02	2.104773019701731e+03	9.984536852152263e-01	8.475079999019400e+00
174	office	thdmtool_only	heavy	strict_negative	1.0	0.0	random_20260902_020759.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/thdmtool_only_3.csv	10513	3.503528206799445e+02	5.272458636828584e+02	3.547831815973114e+02	1.439706451565180e+04	9.986022652293713e-01	7.973871059729826e+00
